Customer_ID,Region,Lifetime_Value,Churn_Probability,Retention_Strategy
CUST_1X8X4P,Asia,9600.5,0.84,Discount
CUST_CE915H,Europe,6175.21,0.79,Email Campaign
CUST_EPHB2H,South America,7729.33,0.89,Discount
CUST_G188LB,Europe,495.36,0.95,Email Campaign
CUST_XDE496,North America,8287.52,0.81,Email Campaign
CUST_SVR4PR,South America,419.64,0.91,Discount
CUST_IMR891,Europe,7072.91,0.83,Discount
CUST_IEIRZB,South America,8279.93,0.77,Loyalty Program
CUST_HQHCLK,North America,4397.15,0.92,Loyalty Program
CUST_U98LW5,South America,1025.64,0.85,Discount
CUST_BDT148,South America,9569.97,0.88,Loyalty Program
CUST_648VCA,Europe,3728.15,0.88,Email Campaign
CUST_7CHHGN,Asia,7639.92,0.78,Email Campaign
CUST_GHWGY3,South America,6610.44,0.87,Email Campaign
CUST_LM5QXD,Europe,6761.66,0.77,Email Campaign
CUST_JH0UVW,Europe,4901.82,0.77,Email Campaign
CUST_UGUKAF,Europe,118.38,0.94,Discount
CUST_166IQF,Asia,8499.93,0.87,Email Campaign
CUST_WHRUBX,North America,7652.38,0.84,Discount
CUST_S6S0T6,Asia,8101.1,0.9,Email Campaign
CUST_M50DPH,Europe,1253.83,0.94,Email Campaign
CUST_5LEXU1,South America,209.27,0.94,Email Campaign
CUST_31ZKUS,Asia,8399.95,0.99,Discount
CUST_KRO2H6,Europe,8498.76,0.82,Email Campaign
CUST_AVNI66,Asia,9159.53,0.76,Email Campaign
CUST_V4UV84,Europe,6330.54,0.91,Email Campaign
CUST_BX7TKR,North America,3942.33,0.89,Discount
CUST_YT2NR9,Asia,8333.59,0.71,Email Campaign
CUST_FI6QT3,North America,1856.52,0.8,Loyalty Program
CUST_PQRHXV,Asia,5958.67,0.93,Email Campaign
CUST_2WK67O,Europe,6357.66,0.94,Email Campaign
CUST_T3XOS6,South America,9197.43,0.88,Email Campaign
CUST_KKFMTV,Asia,7423.46,0.95,Loyalty Program
CUST_LXI35K,South America,6252.22,0.89,Discount
CUST_BVZN6A,South America,6449.93,0.99,Discount
CUST_3R5QT8,North America,5106.86,0.94,Discount
CUST_7UOY43,North America,3096.53,0.78,Discount
CUST_QI2L78,North America,8227.74,0.75,Email Campaign
CUST_USEEH3,North America,1933.54,0.82,Email Campaign
CUST_LFHUX1,Asia,5539.05,0.99,Discount
CUST_XJHUAS,Asia,3813.95,0.73,Loyalty Program
CUST_41NLAY,South America,9680.16,0.76,Discount
CUST_HQMSVH,North America,2290.61,0.75,Loyalty Program
CUST_WI9L1X,Asia,5235.86,0.97,Email Campaign
CUST_RGHV5C,Europe,1704.01,0.97,Discount
CUST_MPAATI,Asia,280.85,0.93,Loyalty Program
CUST_6V2XCO,South America,2838.25,0.77,Loyalty Program
CUST_8LF3IW,South America,3555.87,0.98,Loyalty Program
CUST_HHHYOZ,South America,6690.03,0.73,Loyalty Program
CUST_76D8W8,South America,1220.11,0.92,Email Campaign
CUST_TBUVKK,South America,7322,0.98,Discount
CUST_BQDDIB,Asia,1390.42,0.91,Email Campaign
CUST_6GVC6S,Asia,5328.87,0.94,Email Campaign
CUST_NM59UY,Asia,5783.02,0.92,Loyalty Program
CUST_HWHMEV,Europe,7605.44,0.9,Discount
CUST_LLFKTU,Europe,3101.41,0.81,Loyalty Program
CUST_F5Z0S1,North America,4391.45,0.93,Loyalty Program
CUST_FHB8KF,Asia,5007.11,0.95,Loyalty Program
CUST_HQWPVH,Europe,9309.17,0.79,Discount
CUST_5QXG7L,South America,237.35,0.82,Email Campaign
CUST_HDGZ4K,Asia,2779.34,0.75,Loyalty Program
CUST_A7DIJM,Asia,4761.42,0.93,Loyalty Program
CUST_ULUW38,Europe,4843.32,0.92,Email Campaign
CUST_8WU9I1,South America,7248.23,0.81,Email Campaign
CUST_Q3ZEHF,Asia,9638.42,0.91,Loyalty Program
CUST_1OAHCU,Europe,7983.71,0.95,Discount
CUST_IB59A1,Europe,7305.86,0.87,Email Campaign
CUST_PQ9I3U,South America,8456.28,0.82,Email Campaign
CUST_C68Z9C,North America,8401.38,0.76,Email Campaign
CUST_D2L8KC,Europe,2689.94,0.86,Discount
CUST_JMS847,North America,6990.09,0.9,Discount
CUST_ILRE8B,South America,7238.86,0.89,Loyalty Program
CUST_Z597UY,North America,8302.36,0.79,Discount
CUST_84DXLG,North America,1119.23,0.73,Email Campaign
CUST_T847VQ,Europe,5712.81,0.9,Discount
CUST_PX01GX,Asia,2452.06,0.87,Loyalty Program
CUST_OOBXBS,Asia,6013.57,0.96,Email Campaign
CUST_T1W03N,Europe,6907.45,0.97,Discount
CUST_U0W2MQ,Europe,197.97,0.87,Email Campaign
CUST_LJ28NA,Europe,458.14,0.96,Loyalty Program
CUST_6C7IQ0,Europe,9084.91,0.79,Discount
CUST_S52445,North America,513.06,0.93,Email Campaign
CUST_R90UJV,South America,3525.03,0.76,Email Campaign
CUST_DVKPRH,South America,2140.53,0.81,Discount
CUST_WQO1BT,North America,6694.79,0.78,Loyalty Program
CUST_ZUYLLI,Asia,7048.35,0.9,Email Campaign
CUST_MVC62T,Asia,8205.47,0.77,Discount
CUST_YZV6UU,South America,1692.86,0.85,Loyalty Program
CUST_EP8RQT,Europe,7314.24,0.89,Loyalty Program
CUST_SPYINW,South America,8013.85,0.91,Email Campaign
CUST_L19JN6,North America,8440.29,0.81,Loyalty Program
CUST_L4J67L,South America,2502.78,0.96,Email Campaign
CUST_6LE5WO,Europe,864.29,0.97,Email Campaign
CUST_M8NSE5,South America,9792.49,0.98,Discount
CUST_TRIYN5,South America,3843.94,0.78,Email Campaign
CUST_0GA2LU,North America,329.17,0.95,Email Campaign
CUST_V6KJHN,South America,3479.41,0.88,Loyalty Program
CUST_8OJAW3,Europe,5972.76,0.97,Loyalty Program
CUST_CWLHD9,South America,6143.25,0.97,Email Campaign
CUST_H81P4F,North America,1041.94,0.94,Email Campaign
CUST_94BFK4,Europe,7055.01,0.78,Email Campaign
CUST_5KCDVZ,Europe,9202.9,0.72,Discount
CUST_CD62JU,Europe,5206.34,0.82,Email Campaign
CUST_9DPJ7Z,North America,1456.57,0.9,Discount
CUST_0SJVFP,South America,9452.48,0.96,Loyalty Program
CUST_KE7NYZ,Asia,5068.47,0.92,Loyalty Program
CUST_CZZBMY,Europe,5899.29,0.76,Loyalty Program
CUST_0IE3J4,Asia,9213.14,0.85,Discount
CUST_YPRDRN,Europe,5963.85,0.86,Discount
CUST_HD1OCZ,Asia,859.1,0.85,Discount
CUST_TGRJ9D,Europe,5946.85,0.77,Email Campaign
CUST_23WHFQ,Asia,1029.65,0.82,Email Campaign
CUST_3QRZNK,North America,3084,0.88,Discount
CUST_AK11TA,Asia,9627.68,0.88,Email Campaign
CUST_GBYWH4,Asia,584.49,0.98,Loyalty Program
CUST_125FMI,Europe,5825.71,0.94,Email Campaign
CUST_V8RZXJ,North America,2188.29,0.74,Loyalty Program
CUST_G7EA76,South America,932.81,0.71,Loyalty Program
CUST_SD99UH,South America,9895.49,0.8,Email Campaign
CUST_DO0J2F,Asia,6409,0.76,Discount
CUST_NIZNQ2,Asia,1772.35,0.71,Discount
CUST_3PSTYH,Europe,3962.09,0.97,Loyalty Program
CUST_DCI91I,Europe,8728.59,0.79,Email Campaign
CUST_BLDXS1,South America,4494.03,0.82,Loyalty Program
CUST_GK11J0,Europe,8233.78,0.9,Discount
CUST_SLJGMO,North America,204.1,0.87,Discount
CUST_3E71LN,North America,1834.79,0.8,Discount
CUST_3TK0ZW,North America,5827.47,0.93,Loyalty Program
CUST_5PHI6R,Asia,9508.4,0.94,Discount
CUST_Z5FJIV,Asia,8581.83,0.95,Email Campaign
CUST_VDEM00,Asia,1884.77,0.75,Email Campaign
CUST_CUK1J5,Asia,673.29,0.91,Email Campaign
CUST_JZZWGV,North America,2781.43,0.93,Loyalty Program
CUST_8SXD3H,North America,7572.66,0.96,Email Campaign
CUST_19DQFQ,North America,7880.8,1,Loyalty Program
CUST_0IY59L,Asia,2094.3,0.98,Loyalty Program
CUST_XAM7YP,Asia,3069.84,0.97,Loyalty Program
CUST_4WFN6P,South America,4551.28,1,Email Campaign
CUST_M0O23U,Asia,6112.96,0.77,Loyalty Program
CUST_KS1EN3,South America,1929.74,0.94,Email Campaign
CUST_GG4GTN,South America,7289.89,0.71,Discount
CUST_IMQHUM,North America,2900.48,1,Discount
CUST_PC4JCP,South America,2600.77,0.79,Discount
CUST_NOKUHV,South America,1773.14,0.77,Loyalty Program
CUST_4BCTY3,Asia,1512.57,0.71,Loyalty Program
CUST_XF28CC,Europe,9698.58,0.79,Loyalty Program
CUST_WH9KT8,Europe,6035.59,0.86,Discount
CUST_VC9WYW,Europe,8835.91,0.77,Loyalty Program
CUST_F1KW22,Europe,9052.05,0.98,Email Campaign
CUST_524EYZ,North America,2312.54,0.78,Loyalty Program
CUST_UCFE4Q,South America,911.4,0.84,Email Campaign
CUST_RJ4GDX,South America,9323.28,0.93,Discount
CUST_HEDSCE,Europe,2782.68,0.77,Loyalty Program
CUST_AACK66,Europe,773.88,0.9,Email Campaign
CUST_33TRDE,Asia,829.07,0.85,Discount
CUST_RBA171,North America,4280.39,0.98,Discount
CUST_PEUC84,Europe,302.28,0.91,Loyalty Program
CUST_6YRMWR,Europe,7088.6,0.98,Email Campaign
CUST_VJHSF2,Asia,7697.18,0.83,Discount
CUST_W4LT6S,North America,5658.9,0.86,Loyalty Program
CUST_0UCMSJ,Europe,4325.22,0.86,Email Campaign
CUST_7QTFHY,Asia,3381.81,0.79,Email Campaign
CUST_D2HJ29,Europe,4454.36,0.84,Loyalty Program
CUST_XYK51A,North America,7917.01,0.76,Loyalty Program
CUST_71CE5N,North America,377.86,0.98,Loyalty Program
CUST_B9MMNR,Europe,2225.86,0.84,Loyalty Program
CUST_ZHW24A,North America,3162.67,0.76,Discount
CUST_DWSCKH,Europe,1608.54,0.78,Loyalty Program
CUST_E0QJ9L,South America,1313.79,0.93,Email Campaign
CUST_AHYDIZ,Asia,8034.43,0.79,Email Campaign
CUST_S7LQCZ,Asia,9550.84,0.91,Email Campaign
CUST_W8TY9O,Europe,7789.92,0.9,Loyalty Program
CUST_0GM594,Europe,700.5,0.9,Loyalty Program
CUST_H9QO81,North America,556.31,0.79,Loyalty Program
CUST_8CXB36,Asia,9287.12,0.71,Discount
CUST_ICW23K,Europe,9442.55,0.78,Email Campaign
CUST_X5H61N,North America,1160,0.75,Discount
CUST_5U4EG3,Asia,8002.19,0.99,Email Campaign
CUST_ZLNY0Y,South America,9300.77,0.84,Loyalty Program
CUST_5UPSUQ,North America,400.52,0.98,Discount
CUST_65G017,Europe,7153.32,0.93,Loyalty Program
CUST_JNVROT,Europe,7562.56,0.89,Discount
CUST_Z9BTFX,South America,1153.45,0.85,Loyalty Program
CUST_B07S47,Europe,2500.48,0.79,Discount
CUST_20UGQA,Asia,8683.52,0.77,Email Campaign
CUST_6IVIS6,Europe,803.06,0.76,Email Campaign
CUST_T95SD4,Asia,7118.79,0.75,Loyalty Program
CUST_BL66L3,North America,3797.81,0.75,Email Campaign
CUST_DBPYIR,North America,4603.63,0.75,Discount
CUST_0BBXUL,Europe,341.64,0.99,Loyalty Program
CUST_6LRUY4,Europe,713.8,0.78,Discount
CUST_UYA28Y,North America,1516.01,0.92,Discount
CUST_IVOQYU,Asia,1819.99,0.94,Loyalty Program
CUST_KIKQKX,Europe,2044.51,0.9,Loyalty Program
CUST_T76S4I,Europe,5203.25,0.91,Discount
CUST_CIXJ9P,Europe,1817.26,0.89,Loyalty Program
CUST_BVUQ3B,Europe,2471.89,0.91,Discount
CUST_21QAZ8,North America,509.61,0.72,Email Campaign
CUST_OX0WSW,North America,3764.66,0.96,Loyalty Program
CUST_KB2UO6,North America,4272.74,0.88,Email Campaign
CUST_TL9T1Y,South America,9012.22,0.82,Discount
CUST_4OPBIH,South America,7499.01,0.98,Loyalty Program
CUST_L659JE,Europe,3793,1,Loyalty Program
CUST_ZFIC51,North America,5247.71,0.99,Email Campaign
CUST_5QUBKH,South America,8361.71,0.76,Email Campaign
CUST_FSKCI8,Asia,6275.69,0.84,Discount
CUST_O9TV1H,South America,6659.27,0.84,Discount
CUST_OF8NP8,Asia,7666.99,0.96,Loyalty Program
CUST_LDCZK0,Europe,7548.99,0.87,Loyalty Program
CUST_DF07OT,Europe,7825.97,0.86,Discount
CUST_LFAYB4,Asia,5418.78,0.91,Loyalty Program
CUST_R3CAMX,North America,1993.41,0.91,Discount
CUST_AYJVPR,Europe,4903.2,0.8,Email Campaign
CUST_DVEE8J,North America,3323.72,0.94,Discount
CUST_3EUWTO,South America,6256.63,0.78,Email Campaign
CUST_WY6I52,North America,7985.19,0.95,Discount
CUST_OV3JZ4,Europe,330.27,0.87,Loyalty Program
CUST_BQG38D,Asia,5072.68,0.85,Email Campaign
CUST_GMPREU,North America,2148.35,0.76,Loyalty Program
CUST_3C3HDB,Asia,2400.68,1,Email Campaign
CUST_T6VEBE,Europe,7127.68,0.79,Loyalty Program
CUST_2PGNY0,Asia,2705.42,0.91,Email Campaign
CUST_R0F9ZS,North America,7602.81,0.76,Discount
CUST_1TEQXU,Asia,9217.19,0.89,Loyalty Program
CUST_LJSHDZ,Europe,8163.51,0.83,Discount
CUST_K2Y9EG,Asia,5010.26,0.79,Discount
CUST_9MZWN4,Europe,8567.6,0.75,Loyalty Program
CUST_ATJCF7,South America,9951.01,0.76,Loyalty Program
CUST_NHP96S,Europe,6550.25,0.78,Loyalty Program
CUST_W4ICQR,Asia,2746.37,0.84,Email Campaign
CUST_AKFDY8,North America,6776.1,0.84,Discount
CUST_2KJ6AE,North America,1804.21,0.91,Loyalty Program
CUST_HUIPZ9,Europe,1303.19,0.75,Email Campaign
CUST_Z9NKDZ,South America,2033.61,0.77,Loyalty Program
CUST_DQVWDB,Asia,1823.59,0.93,Loyalty Program
CUST_1H5THB,Asia,2249.57,0.9,Discount
CUST_3FPNUY,Asia,9437.74,0.87,Discount
CUST_ST9ZAR,Asia,6498.59,0.85,Discount
CUST_BVEX9Z,North America,5708.93,0.72,Email Campaign
CUST_UNF5SM,South America,6931.47,0.99,Email Campaign
CUST_YE68QT,Asia,4781.31,0.78,Loyalty Program
CUST_FC70Y2,North America,9467.24,0.75,Loyalty Program
CUST_6DUDPF,North America,5398.72,0.89,Discount
CUST_8WSPWX,North America,2014.37,0.99,Loyalty Program
CUST_8DTZYO,Asia,5267.58,0.95,Loyalty Program
CUST_S31UHN,North America,9127.3,0.89,Loyalty Program
CUST_NKTQW8,Europe,1806.09,0.95,Email Campaign
CUST_YTT75P,Asia,3328.57,0.81,Loyalty Program
CUST_6HOMTF,Europe,5439.35,0.75,Email Campaign
CUST_PGTU4A,North America,4112.79,1,Email Campaign
CUST_UBR2A7,South America,2403.65,0.84,Email Campaign
CUST_TCSRJ2,Europe,3020.55,0.81,Email Campaign
CUST_3RTMS5,Europe,2691.78,0.85,Email Campaign
CUST_E0VL8Z,North America,8947.96,0.84,Email Campaign
CUST_P1824P,South America,7506.67,0.8,Discount
CUST_XFP7C7,Europe,7139.08,0.72,Discount
CUST_EZIOC3,Europe,9979.68,0.83,Loyalty Program
CUST_M9V0KV,South America,8571.41,0.76,Discount
CUST_M60T9B,Asia,5922.25,0.87,Email Campaign
CUST_8EHNS3,Asia,6573.06,0.95,Email Campaign
CUST_NFR2FQ,Europe,3971.92,0.94,Discount
CUST_2MBGUZ,Asia,9240.99,0.97,Email Campaign
CUST_2M90XB,South America,2198.16,0.95,Email Campaign
CUST_RFTN82,North America,7678.98,0.78,Email Campaign
CUST_78ZDJS,Asia,1189.7,0.71,Discount
CUST_NOOTW1,Europe,5874.93,0.84,Loyalty Program
CUST_NCE8QH,Europe,9276.17,0.79,Email Campaign
CUST_2IN8TZ,South America,5831.63,0.92,Email Campaign
CUST_9XINOJ,Europe,6249.35,0.98,Loyalty Program
CUST_OBJVTT,South America,8750.34,0.89,Loyalty Program
CUST_74UXHR,Asia,7576.35,0.97,Discount
CUST_IO6PV7,Europe,765.68,0.9,Loyalty Program
CUST_HYPYS4,Europe,2797.65,0.91,Email Campaign
CUST_RJB9EU,Asia,3917.31,0.98,Loyalty Program
CUST_9XPD7P,Asia,1944.7,0.85,Discount
CUST_34QW4J,North America,1275.07,0.91,Loyalty Program
CUST_9P6KPG,South America,6630.1,0.78,Loyalty Program
CUST_RREUG6,North America,6779.83,0.96,Loyalty Program
CUST_VXUM8K,North America,6998.74,0.88,Email Campaign
CUST_J7WAS9,North America,9161.42,0.93,Email Campaign
CUST_ZRDVG5,North America,9015.75,0.96,Email Campaign
CUST_LZX1UJ,North America,8842.8,0.78,Email Campaign
CUST_1E21FP,Europe,4559.03,0.8,Email Campaign
CUST_3Y93KQ,South America,1136.72,0.77,Loyalty Program
CUST_2Y9387,South America,8053.46,0.79,Email Campaign
CUST_6G9R16,Asia,5484.19,0.79,Loyalty Program
CUST_OQXQWT,South America,7720.43,0.84,Email Campaign
CUST_EF17MD,North America,935.7,0.72,Discount
CUST_PAZKPS,Europe,1778.31,0.97,Loyalty Program
CUST_WF259O,North America,5409.27,0.78,Discount
CUST_94SJJ1,Asia,6785.49,0.75,Email Campaign
CUST_S8UC0L,Europe,5733.06,0.73,Discount
CUST_EXSNVH,North America,2534.89,0.95,Email Campaign
CUST_T1EI4S,Asia,1992.59,0.75,Email Campaign
CUST_SPSE8I,Asia,3187.43,0.79,Loyalty Program
CUST_W6C054,South America,8067.49,0.98,Discount
CUST_7ZITBL,North America,4715.06,0.96,Discount
CUST_O2XZ9E,Asia,2839.28,0.8,Email Campaign
CUST_7L4P65,Europe,9659.1,0.97,Discount
CUST_29LEQW,Asia,9587.23,0.74,Discount
CUST_8NTDVF,South America,1231.99,0.81,Loyalty Program
CUST_S03KB1,Europe,781.95,0.99,Loyalty Program
CUST_OQ6CBD,Asia,8746.04,0.72,Loyalty Program
CUST_J7527W,Europe,6664.53,0.77,Discount
CUST_LW7ZRB,North America,5820.13,0.82,Email Campaign
CUST_Y0U902,Europe,1446.62,0.95,Email Campaign
CUST_MI3DT9,Asia,2283.46,0.8,Loyalty Program
CUST_1T3INE,Asia,9164.62,0.81,Discount
CUST_B8Y4SL,Europe,6808.36,0.76,Discount
CUST_F5M0QE,North America,2057.65,0.73,Discount
CUST_IAY8KM,North America,7459.71,0.84,Email Campaign
CUST_SNHCSR,Asia,970.81,1,Loyalty Program
CUST_XPQL4W,Europe,9279.84,0.86,Loyalty Program
CUST_AGC6HM,North America,6052.76,0.95,Loyalty Program
